НКНХ-ао [0, 0, 0, 0.3098, 0.07, 1.18, 2.36, 2.78, 1.0, 1.52, 4.34, 0, 0, 19.94, 9.07, 10.27]
НЛМК [1.5, 3.0, 3.5, 0, 0.84, 2.5999999999999996, 0.6, 0.62, 1.55, 4.13, 6.590000000000001, 12.559999999999999, 19.46, 22.86, 20.73, 41.91]
НМТП [0, 0, 0.0335, 0.0265, 0.125, 0.023, 0.0235, 0.0236, 0.0234, 0.2336, 0.5189, 0.7788, 0.5192, 0.7647999999999999, 1.35, 0]
НОВАТЭК [0.5235500000000001, 1.9300000000000002, 2.52, 2.52, 3.25, 5.0, 6.5, 7.26, 9.59, 11.8, 13.8, 13.95, 17.25, 31.04, 29.92, 51.41]
Обувь России [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32, 2.36, 0, 0]
ОГК-2 [0, 0, 0, 0, 0, 0.0048759, 0.0009988, 0, 0, 0.0081415, 0.0056738, 0.008253, 0.0163, 0.0368, 0.0544, 0.06]
ОКЕЙ [0, 0, 0, 0, 0, 2.93, 3.05, 5.69, 10.98, 6.11, 5.46, 5.44, 6.97, 3.61, 2.27, 0]
Фосагро [0, 0, 0, 0, 0, 25.0, 95.5, 35.349999999999994, 44.3, 140.0, 216.0, 114.0, 105.0, 249.0, 300.0, 558.0]
ПИК [0, 0, 0, 0, 0, 0, 0, 0, 4.16, 0, 0, 0, 22.71, 22.71, 22.71, 45.43000000000001]
Полюс [0, 3.23, 2.95, 6.55, 17.799999999999997, 37.480000000000004, 62.95, 26.23, 0, 0, 0, 256.71, 278.23, 306.6, 484.93, 654.63]
Полиметалл [0, 0, 0, 0, 0, 0, 0, 0.3318, 16.57, 33.24, 24.25, 18.740000000000002, 28.490000000000002, 33.71, 70.78, 99.16]
Группа Позитив [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
QIWI [0, 0, 0, 0, 0, 0, 0, 10.55, 55.120000000000005, 12.51, 77.89, 36.010000000000005, 0, 54.71000000000001, 77.28, 84.36]
Распадская [0, 3.19, 5.25, 0, 5.0, 5.0, 0, 0, 0, 0, 0, 0, 0, 2.5, 5.53, 28.7]
Роснефть [0, 1.33, 1.6, 1.92, 2.3, 2.76, 7.53, 8.05, 12.85, 8.21, 11.75, 9.81, 21.23, 26.67, 18.07, 24.970000000000002]
Россети-п [0, 0, 0, 0, 0, 0.05, 0.07, 0.08, 0, 0, 0.0745, 0.3684, 0.0429, 0.08, 0.1893, 0.0588]
Россети-ао [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0083181, 0.0062145, 0.012, 0.0244, 0.0885, 0.0245]
Ростелеком-п [3.72, 2.96, 3.88, 2.91, 3.77, 0.4344, 4.7, 4.1, 4.85, 4.05, 5.92, 5.39, 5.05, 5.0, 5.0, 5.0]
Ростелеком-ао [1.56, 1.48, 1.94, 1.94, 2.51, 0, 4.7, 2.44, 3.12, 3.34, 5.92, 5.39, 5.05, 5.0, 5.0, 5.0]
Сбербанк-п [0.295, 0.465, 0.65, 0.63, 0.45, 1.15, 2.59, 3.2, 3.2, 0.45, 1.97, 6.0, 12.0, 16.0, 18.7, 18.7]
Сбербанк-ао [0.2644, 0.3855, 0.51, 0.48, 0.08, 0.92, 2.08, 2.57, 3.2, 0.45, 1.97, 6.0, 12.0, 16.0, 18.7, 18.7]
Селигдар-п [0, 0, 0, 0, 0, 0, 0, 2.25, 0.2938, 0, 0, 0, 1.44, 4.5, 2.25, 2.25]
Селигдар ао [0, 0, 0, 0, 0, 0, 0.15, 0, 0, 0, 0, 0, 0, 0.78, 3.9699999999999998, 1.95]
Сафмар [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.0, 17.25, 14.5, 0, 0]
Сегежа [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Газпром нефть [7.9, 8.08, 5.4, 5.4, 3.57, 4.44, 7.3, 13.39, 9.91, 7.77, 0.55, 20.68, 27.05, 26.09, 24.82, 50.0]
ГК Самолет [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82.0]
Сургутнефтегаз-п [1.05, 0.71, 0.82, 1.33, 1.05, 1.18, 2.15, 1.48, 2.36, 8.21, 6.92, 0.6, 1.38, 7.62, 0.97, 6.72]
Сургутнефтегаз-ао [0.8, 0.53, 0.6, 0.6, 0.45, 0.5, 0.6, 0.5, 0.6, 0.65, 0.6, 0.6, 0.65, 0.65, 0.65, 0.7]
Соллерс [14.0, 19.7, 45.18, 0, 0, 0, 0, 52.52, 52.52, 0, 0, 0, 0, 0, 0, 0]
Татнефть-п [1.0, 4.6, 5.65, 4.42, 6.56, 5.02, 7.08, 8.6, 8.23, 10.58, 10.96, 50.59, 42.43, 119.11, 10.94, 28.82]
Татнефть-ао [1.0, 4.6, 5.65, 4.42, 6.56, 5.02, 7.08, 8.6, 8.23, 10.58, 10.96, 50.59, 42.43, 119.11, 9.94, 28.82]
TCS Group [0, 0, 0, 0, 0, 0, 0, 0, 16.28, 0, 24.490000000000002, 44.73, 67.76, 31.939999999999998, 60.09, 17.51]
ТГК-1 [0, 0.0001318, 0, 0, 4.37e-05, 4.68e-05, 4.87e-05, 0.0001218, 0.000167, 0.0002254, 0.000243, 0.0003453, 0.0004898, 0.0006446, 0.0010365, 0.0010706]
ТМК [0, 7.93, 2.7800000000000002, 1.44, 0, 1.78, 4.2, 1.88, 0.78, 2.817, 1.94, 1.96, 2.28, 2.55, 3.0, 27.380000000000003]
Транснефть-п [296.36, 225.42, 258.54, 236.78, 250.39, 314.73, 716.58, 685.1, 724.21, 757.87, 823.31, 8171.969999999999, 7578.27, 10705.95, 11612.2, 9224.28]
Таттелеком [0, 0.0101, 0.0126, 0.0101, 0.005554, 0.00944, 0.0102, 0.0106, 0.0107, 0.005, 0.0114, 0.0091, 0.0192, 0.0193, 0.0202, 0.0393]
Юнипро [0, 0, 0, 0, 0, 0, 0.0579, 0.2895, 0.6797, 0.2776, 0.38580000000000003, 0.222, 0.222, 0.222, 0.222, 0.31720000000000004]
ВСМПО-АВИСМА [37.88, 50.83, 53.92, 23.14, 1.5, 5.1, 26.52, 279.83, 533.91, 1619.0700000000002, 1274.22, 2062.68, 1646.45, 1758.02, 0, 0]
ВТБ [0, 0.00066, 0.00134, 0.000447, 0.00058, 0.00058, 0.00088, 0.00143, 0.00116, 0.00117, 0.00117, 0.00117, 0.0034535, 0.0010987, 0.0007735, 0.0014001]
